,Link,Name,Image-link,Price,Description
37,https://www.ebay.com/itm/115244389776?hash=item1ad519d590:g:p1AAAOSwLQRhgjIr&amdata=enc%3AAQAHAAAA4E3M4XPZYyV86LWBWYXj5MjGABYfFPBS3orF04mMnZrUeQrY52otRA7vJLLsDIZpdQfa67N7XW%2BYNIpy5xx5P%2BxQ%2BSCcyt7qYn3wuX7t8badi59hQUgbH%2FPa5rTs7t1RK30ApNXP7jUlA%2FfQoMO%2FdUaKDiLOqQox8IPVA6e8XtDTPsf9btEYbgpo91J6Nt3qeue5IZyrQXIZKqgCBFMbP3Dwmaz8Ciw0WAhRUaYPcN9BdPaY8JijZvtnIvIuwmNCinQEi3cuzpdCNnceDjyg4lSKG7hLSNVt7uzBCeqPx2py%7Ctkp%3ABFBM-qfe-cVg,57mm Optical Dural Objective Lens f DIY Refraction Astronomical Telescope Group,https://i.ebayimg.com/thumbs/images/g/p1AAAOSwLQRhgjIr/s-l225.jpg,$28.49,Brand New
38,https://www.ebay.com/itm/402022050853?epid=1883861260&hash=item5d9a61ac25:g:zLIAAOSw7oBeDjd9&amdata=enc%3AAQAHAAAA4OGb9LS%2FycNBP9LRowYNeE%2FkHofAtbpukO6KI36FddYpuorUE9eTF2mhRpVqmdlFrdZc8j8a0BqnWjgah81slZUnmvVx16pzVyNfy15o8yc9etG3xpBgrZnvGVOrCmF%2B7drUd8Xope6S8RCbMnruw52lWHHBYjMvwSPGsaemNgBCsTU%2BgN0mmnlOleuCQ%2BNdjdvFVHWztEDP3Pcjp%2FbCvVLQiM%2Fo9lnEKu2XAW0plnN89K%2FazlH7YHGkFGOr3bXc0aXY%2FHsYkL5LYbc9PpRhh6vWUFfik678pttrkkW3Q1t6%7Ctkp%3ABFBM-qfe-cVg,AMSCOPE Telescope 45X-450X Magnification 900x70mm w/ Tripod,https://i.ebayimg.com/thumbs/images/g/zLIAAOSw7oBeDjd9/s-l225.jpg,$109.99,Brand New
39,https://www.ebay.com/itm/294985619888?hash=item44ae8359b0:g:XpcAAOSwC1ZigQIG,Takahashi Astronomical Telescope Guide Mount Large (Gray) From Japan,https://i.ebayimg.com/thumbs/images/g/XpcAAOSwC1ZigQIG/s-l225.jpg,$164.70,Pre-Owned
40,https://www.ebay.com/itm/231830101428?epid=56511595&hash=item35fa269db4:g:L-cAAOSwZfNafkxA,"BARSKA 40070 Starwatcher Refractor Telescope w/ Case, Tripod & Software, AE10100",https://i.ebayimg.com/thumbs/images/g/L-cAAOSwZfNafkxA/s-l225.jpg,$64.99,Brand New
41,https://www.ebay.com/itm/174623833589?hash=item28a8643df5:g:XfAAAOSwhAJgNfNH,[Pre-owned w/case] Nikon Fieldscope I D=60 P Eye Piece 20x from JAPAN #731,https://i.ebayimg.com/thumbs/images/g/XfAAAOSwhAJgNfNH/s-l225.jpg,$179.99,Pre-Owned
42,https://www.ebay.com/itm/115227309052?hash=item1ad41533fc:g:rLMAAOSwgFNgfTkx,51mm Glass Glass Objective Lens DIY Achromatic Telescope Focal 182mm Green Film,https://i.ebayimg.com/thumbs/images/g/rLMAAOSwgFNgfTkx/s-l225.jpg,$21.23,Brand New
43,https://www.ebay.com/itm/384862698642?hash=item599b9abc92:g:LvUAAOSwfnhibDEp,IQCREW 35X-350X 76mm Newtonian Reflector Telescope,https://i.ebayimg.com/thumbs/images/g/LvUAAOSwfnhibDEp/s-l225.jpg,$118.99,Open Box
44,https://www.ebay.com/itm/393599184877?epid=4009476885&hash=item5ba456efed:g:bSYAAOSwqZNhUkuV,Coleman Astrowatch AT70 Refractor Telescope,https://i.ebayimg.com/thumbs/images/g/bSYAAOSwqZNhUkuV/s-l225.jpg,$39.99,Pre-Owned
45,https://www.ebay.com/itm/185133379296?hash=item2b1acf2ee0:g:y1AAAOSwf9dhen0Q,Tasco StarGuide Hand Controller for Telescope. ,https://i.ebayimg.com/thumbs/images/g/y1AAAOSwf9dhen0Q/s-l225.jpg,$49.79,Pre-Owned
46,https://www.ebay.com/itm/385003750462?hash=item59a403043e:g:-JsAAOSwXvdizhXq,VTG Bausch & Lomb Balscope Ten 10 Power Telescope w Original Belt Case USA Made,https://i.ebayimg.com/thumbs/images/g/-JsAAOSwXvdizhXq/s-l225.jpg,$32.99,Pre-Owned
47,https://www.ebay.com/itm/363916532037?hash=item54bb1d9945:g:iZEAAOSwtCFi2Snf,telescope,https://i.ebayimg.com/thumbs/images/g/iZEAAOSwtCFi2Snf/s-l225.jpg,$30.00,Pre-Owned
48,https://www.ebay.com/itm/133802591429?hash=item1f274184c5:g:-nsAAOSw3ktg2nu8,ANTIQUE BARDOU & SON PARIS RIFLE RANGE TELESCOPE 33X POWER BRASS SPY GLASS SCOPE,https://i.ebayimg.com/thumbs/images/g/-nsAAOSw3ktg2nu8/s-l225.jpg,$199.95,Pre-Owned
49,https://www.ebay.com/itm/132978617289?hash=item1ef624abc9:g:h00AAOSwTGNcnKZo,"APM Refractor Telescope Doublet SD Apo 140 For / 7 FPL53 Ota With 3.7 "" Abstract",https://i.ebayimg.com/thumbs/images/g/h00AAOSwTGNcnKZo/s-l225.jpg,"$4,148.95",Brand New
50,https://www.ebay.com/itm/233412840825?hash=item36587d4d79:g:ZcoAAOSwcjJgw9Hz,Barska AE11124 Starwatcher 70060 Refractor Telescope,https://i.ebayimg.com/thumbs/images/g/ZcoAAOSwcjJgw9Hz/s-l225.jpg,$119.99,Brand New
51,https://www.ebay.com/itm/264908338644?hash=item3dadc475d4:g:t3MAAOSwUvpgPaxF,70mm Aperture 150X Astronomical Telescope for Beginners with Tripod,https://i.ebayimg.com/thumbs/images/g/t3MAAOSwUvpgPaxF/s-l225.jpg,$64.99,Brand New
